category_id,category_name,subcategory_id,subcategory_name,article_count
8,วัสดุฝ้าเพดาน,207,"ฉนวนกันความร้อน ,ฉนวนกันเสียง",3
12,รั้ว ระแนง วัสดุตกแต่งอาคาร,306,อุปกรณ์ รั้ว ตกแต่งอาคารอื่นๆ,3
14,ห้องน้ำ,308,อุปกรณ์สำหรับห้องน้ำอื่นๆ,3
14,ห้องน้ำ,372,กระจกเงาสำหรับห้องน้ำ,3
15,โครงสร้าง,,,3
23,บันได ลิฟท์,49,ราวบันได,3
24,อื่นๆ,76,บ้านน๊อค ดาวน์,3
24,อื่นๆ,412,ที่จอดรถสำเร็จรูป,3
30,ห้องครัว,362,อุปกรณ์สำหรับครัว และห้องทานข้าว,3
2,ของแต่งบ้าน,385,แจกัน,2
5,สวน และภายนอกอาคาร,195,"กระถาง, โครง, ระแนงต้นไม้",2
5,สวน และภายนอกอาคาร,346,เครื่องมือ อุปกรณ์ทำสวน,2
6,วัสดุปูพื้น,240,พรม,2
7,วัสดุปิดผิวผนัง,206,"ผนังปูน, ปูนขัดมัน",2
9,กระจก และวัสดุโปร่งแสง,303,อื่นๆ,2
10,วัสดุแผ่น,112,ฮาร์ดบอร์ด กระดาษอัด,2
10,วัสดุแผ่น,304,อื่นๆ,2
12,รั้ว ระแนง วัสดุตกแต่งอาคาร,199,กันสาด กันสาดผ้าใบ,2
14,ห้องน้ำ,370,อ่างอาบน้ำ,2
14,ห้องน้ำ,374,ฝักบัวอาบน้ำ,2
14,ห้องน้ำ,379,ราวทรงตัว,2
16,เครื่องใช้ไฟฟ้า,339,พัดลม,2
19,งานระบบไฟฟ้า,45,สายไฟ สายสัญญาณ,2
22,เครื่องจักร อุปกรณ์ช่าง เคมีภัณฑ์,316,อื่นๆ,2
30,ห้องครัว,359,ซิงค์,2
1,เฟอร์นิเจอร์,79,ตู้เสื้อผ้า,1
2,ของแต่งบ้าน,2,เซรามิคอาร์ท,1
2,ของแต่งบ้าน,55,กระถางตกแต่ง,1
2,ของแต่งบ้าน,80,"ดอกไม้ปลอม , ต้นไม้ปลอม , ผลไม้ปลอม",1
2,ของแต่งบ้าน,275,"หมอนอิง, แผ่นรองนั่ง",1
2,ของแต่งบ้าน,338,กรอบรูป,1
3,"ผ้าบุ, ผ้าม่าน, เครื่องนอน",297,อุปกรณ์ ผ้าบุ ผ้าม่านอื่นๆ,1
4,"โคมไฟ, หลอดไฟ",265,โคมไฟตั้งพื้น,1
5,สวน และภายนอกอาคาร,173,หญ้าเทียม,1
6,วัสดุปูพื้น,196,คอนกรีตแสตมป์ แอสฟัลท์,1
6,วัสดุปูพื้น,220,ทรายล้าง,1
6,วัสดุปูพื้น,411,พื้นโพลียูรีเทน,1
13,หลังคา,,,1
13,หลังคา,239,หลังคา โซลาร์เซลล์,1
13,หลังคา,248,รางน้ำฝน,1
15,โครงสร้าง,117,ซีเมนต์ ทราย ดิน,1
17,งานระบบประปา,408,อุปกรณ์ท่อประปา,1
17,งานระบบประปา,409,ก๊อกสนาม,1
17,งานระบบประปา,410,อุปกรณ์วาล์ว,1
19,งานระบบไฟฟ้า,139,ระบบควบคุมไฟฟ้าในอาคาร,1
19,งานระบบไฟฟ้า,313,อื่นๆ,1
21,งานระบบรักษาความปลอดภัย และป้องกันอาคาร,47,ระบบกันขโมย,1
22,เครื่องจักร อุปกรณ์ช่าง เคมีภัณฑ์,,,1
22,เครื่องจักร อุปกรณ์ช่าง เคมีภัณฑ์,383,เครื่องจักร เครื่องกล,1
24,อื่นๆ,318,อื่นๆ,1
24,อื่นๆ,421,วัสดุกันกระแทก,1
